,id,article_id,evidence_type,postDate,postClass,evidenceID,evidenceDate,evidence_after_post
0,mi0599,0,t2t,2024-04-23 17:25:03+00:00,miscaptioned,mi0599_t1_result_0,2025-01-10,True
1,mi0599,1,t2t,2024-04-23 17:25:03+00:00,miscaptioned,mi0599_t1_result_1,2021-07-07,False
2,mi0599,6,t2t,2024-04-23 17:25:03+00:00,miscaptioned,mi0599_t1_result_6,2025-10-07,True
3,mi0599,8,t2t,2024-04-23 17:25:03+00:00,miscaptioned,mi0599_t1_result_8,2007-11-27,False
4,mi0599,6,i2t,2024-04-23 17:25:03+00:00,miscaptioned,mi0599_lens_result_6,2025-10-14,True
5,mi4791,1,t2t,2024-11-23 23:49:25+00:00,miscaptioned,mi4791_t1_result_1,2024-11-25,True
6,mi4791,0,i2t,2024-11-23 23:49:25+00:00,miscaptioned,mi4791_lens_result_0,2024-11-25,True
7,fa3027,0,t2t,2024-10-19 20:58:18+00:00,factually_correct,fa3027_t1_result_0,2020-01-01,False
8,fa3027,2,t2t,2024-10-19 20:58:18+00:00,factually_correct,fa3027_t1_result_2,2025-06-23,True
9,fa3027,9,t2t,2024-10-19 20:58:18+00:00,factually_correct,fa3027_t1_result_9,2022-03-30,False
10,fa3027,0,i2t,2024-10-19 20:58:18+00:00,factually_correct,fa3027_lens_result_0,2011-02-16,False
11,fa3027,9,i2t,2024-10-19 20:58:18+00:00,factually_correct,fa3027_lens_result_9,2016-07-14,False
12,fa1398,2,i2t,2023-06-10 02:51:06+00:00,factually_correct,fa1398_lens_result_2,2024-07-15,True
13,mi3188,4,t2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_t1_result_4,2025-02-02,False
14,mi3188,5,t2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_t1_result_5,2025-02-03,False
15,mi3188,7,t2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_t1_result_7,2025-02-03,False
16,mi3188,8,t2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_t1_result_8,2025-02-02,False
17,mi3188,9,t2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_t1_result_9,2025-02-02,False
18,mi3188,1,i2t,2025-02-03 21:41:26+00:00,miscaptioned,mi3188_lens_result_1,2025-10-14,True
19,fa4068,0,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_0,2025-03-25,True
20,fa4068,2,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_2,2025-03-13,True
21,fa4068,4,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_4,2022-06-29,False
22,fa4068,5,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_5,2025-09-03,True
23,fa4068,6,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_6,2019-06-28,False
24,fa4068,8,t2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_t1_result_8,2012-07-01,False
25,fa4068,1,i2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_lens_result_1,2025-02-04,True
26,fa4068,3,i2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_lens_result_3,2022-06-29,False
27,fa4068,4,i2t,2024-01-02 05:50:56+00:00,factually_correct,fa4068_lens_result_4,2020-06-01,False
28,fa2991,0,t2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_t1_result_0,2016-02-11,False
29,fa2991,3,t2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_t1_result_3,2016-12-20,False
30,fa2991,5,t2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_t1_result_5,2025-01-01,True
31,fa2991,6,t2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_t1_result_6,2017-06-19,False
32,fa2991,1,i2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_lens_result_1,2013-01-21,False
33,fa2991,2,i2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_lens_result_2,2022-12-02,False
34,fa2991,5,i2t,2024-05-19 23:03:12+00:00,factually_correct,fa2991_lens_result_5,2018-11-12,False
35,fa0760,0,i2t,2024-11-27 01:24:48+00:00,factually_correct,fa0760_lens_result_0,2024-11-28,True
36,fa3083,0,t2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_t1_result_0,2024-05-26,False
37,fa3083,4,t2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_t1_result_4,2024-05-26,False
38,fa3083,6,t2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_t1_result_6,2024-05-29,True
39,fa3083,8,t2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_t1_result_8,2024-05-26,False
40,fa3083,0,i2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_lens_result_0,2025-10-13,True
41,fa3083,4,i2t,2024-05-28 16:10:18+00:00,factually_correct,fa3083_lens_result_4,2024-05-28,False
42,fa0590,0,t2t,2023-08-28 13:56:27+00:00,factually_correct,fa0590_t1_result_0,2023-08-29,True
43,mi3662,0,t2t,2024-06-14 16:19:28+00:00,miscaptioned,mi3662_t1_result_0,2017-04-28,False
44,fa4314,5,t2t,2024-12-29 04:45:49+00:00,factually_correct,fa4314_t1_result_5,2022-12-01,False
45,fa4314,9,t2t,2024-12-29 04:45:49+00:00,factually_correct,fa4314_t1_result_9,2022-12-01,False
46,fa4314,5,i2t,2024-12-29 04:45:49+00:00,factually_correct,fa4314_lens_result_5,2023-08-28,False
47,fa4314,7,i2t,2024-12-29 04:45:49+00:00,factually_correct,fa4314_lens_result_7,2025-07-30,True
48,mi3923,0,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_0,2023-09-27,True
49,mi3923,1,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_1,2023-09-24,True
50,mi3923,3,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_3,2023-09-28,True
51,mi3923,4,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_4,2023-09-24,True
52,mi3923,5,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_5,2023-10-12,True
53,mi3923,6,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_6,2023-09-25,True
54,mi3923,8,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_8,2023-09-16,False
55,mi3923,9,t2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_t1_result_9,2023-10-04,True
56,mi3923,6,i2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_lens_result_6,2018-06-23,False
57,mi3923,7,i2t,2023-09-23 12:43:01+00:00,miscaptioned,mi3923_lens_result_7,2019-10-22,False
58,fa0165,4,t2t,2024-05-04 00:19:26+00:00,factually_correct,fa0165_t1_result_4,2024-05-04,False
59,mi5059,3,t2t,2021-08-20 05:54:02+00:00,miscaptioned,mi5059_t1_result_3,2022-07-23,True
60,mi5059,9,t2t,2021-08-20 05:54:02+00:00,miscaptioned,mi5059_t1_result_9,2022-07-23,True
61,fa1329,1,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_1,2024-03-04,True
62,fa1329,2,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_2,2023-12-19,False
63,fa1329,3,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_3,2024-03-04,True
64,fa1329,4,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_4,2025-07-30,True
65,fa1329,5,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_5,2024-03-08,True
66,fa1329,6,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_6,2024-03-04,True
67,fa1329,7,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_7,2024-08-03,True
68,fa1329,8,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_8,2024-03-01,True
69,fa1329,9,t2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_t1_result_9,2024-03-04,True
70,fa1329,0,i2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_lens_result_0,2023-12-20,True
71,fa1329,1,i2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_lens_result_1,2023-12-20,True
72,fa1329,5,i2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_lens_result_5,2025-06-10,True
73,fa1329,9,i2t,2023-12-19 23:14:44+00:00,factually_correct,fa1329_lens_result_9,2023-12-19,False
74,mi3699,2,t2t,2023-11-06 20:17:25+00:00,miscaptioned,mi3699_t1_result_2,2023-11-08,True
75,mi3699,3,t2t,2023-11-06 20:17:25+00:00,miscaptioned,mi3699_t1_result_3,2025-10-07,True
76,mi3699,5,t2t,2023-11-06 20:17:25+00:00,miscaptioned,mi3699_t1_result_5,2023-11-09,True
77,mi3699,6,t2t,2023-11-06 20:17:25+00:00,miscaptioned,mi3699_t1_result_6,2023-11-08,True
78,mi3699,9,t2t,2023-11-06 20:17:25+00:00,miscaptioned,mi3699_t1_result_9,2023-11-08,True
79,mi3733,0,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_0,2025-10-10,True
80,mi3733,2,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_2,2024-07-10,False
81,mi3733,3,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_3,2025-01-02,True
82,mi3733,4,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_4,2024-07-20,False
83,mi3733,7,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_7,2024-08-09,False
84,mi3733,9,t2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_t1_result_9,2025-07-06,True
85,mi3733,0,i2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_lens_result_0,2023-11-08,False
86,mi3733,3,i2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_lens_result_3,2023-10-24,False
87,mi3733,5,i2t,2024-09-13 07:15:15+00:00,miscaptioned,mi3733_lens_result_5,2024-02-09,False
88,mi0378,0,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_0,2022-03-02,True
89,mi0378,3,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_3,2022-03-04,True
90,mi0378,5,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_5,2022-02-26,False
91,mi0378,6,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_6,2022-02-27,True
92,mi0378,7,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_7,2022-03-08,True
93,mi0378,8,t2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_t1_result_8,2022-07-26,True
94,mi0378,5,i2t,2022-02-26 12:38:42+00:00,miscaptioned,mi0378_lens_result_5,2014-01-24,False
